Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
0.01,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.05,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.42,0.03,0.02,0.03,0.01
0.0,0.0,0.0,0.0,0.0,0.66,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.02,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.02,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.37,0.0,0.0
0.02,0.0,0.01,0.0,0.0,0.04,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.01,0.13,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.02,0.01,0.01,0.0,0.0
0.02,0.0,0.0,0.01,0.0,0.38,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.03,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.06,0.05,0.02,0.01,0.01
0.01,0.0,0.0,0.0,0.0,0.03,0.74,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.0
0.02,0.01,0.02,0.04,0.0,0.02,0.02,0.01,0.01,0.0,0.02,0.03,0.0,0.02,0.01,0.02,0.03,0.01,0.09,0.04,0.02,0.1,0.19,0.0,0.03,0.0,0.0,0.02,0.01,0.0,0.01,0.01
0.04,0.01,0.0,0.01,0.0,0.08,0.05,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.02,0.0,0.0,0.08,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.35,0.01,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.06,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.11,0.0,0.0,0.01,0.02,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.01
0.38,0.0,0.0,0.0,0.0,0.06,0.13,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.04,0.03,0.01,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.01
0.01,0.0,0.0,0.01,0.0,0.04,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.0,0.0,0.47,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.02,0.04,0.01,0.0,0.01
0.02,0.0,0.0,0.01,0.0,0.25,0.03,0.02,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.26,0.01,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.02,0.03,0.01,0.0,0.01
0.01,0.0,0.01,0.01,0.0,0.03,0.02,0.0,0.37,0.0,0.0,0.02,0.0,0.0,0.04,0.02,0.0,0.0,0.08,0.0,0.01,0.02,0.02,0.0,0.01,0.01,0.0,0.04,0.01,0.0,0.0,0.03
0.02,0.0,0.0,0.01,0.0,0.05,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.39,0.04,0.0,0.0,0.05,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.03,0.02,0.0,0.01
0.04,0.0,0.0,0.0,0.0,0.13,0.39,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.01,0.03,0.01,0.01
